customer_id,tenure_months,monthly_charges,support_tickets,payment_delays,churn_label
CUST-00071,41,78.97,4,4,1
CUST-00072,29,26.74,8,3,1
CUST-00073,15,103.15,8,0,1
CUST-00074,45,37.73,1,1,1
CUST-00075,65,92.31,6,0,0
CUST-00076,71,97.27,9,4,1
CUST-00077,9,91.49,3,4,1
CUST-00078,1,77.9,2,0,1
CUST-00079,8,21.46,0,3,1
CUST-00080,63,56.04,2,3,1
CUST-00081,11,80.48,8,1,1
CUST-00082,8,58.75,8,1,1
CUST-00083,35,106.35,6,2,1
CUST-00084,35,50.88,2,2,1
CUST-00085,33,49.35,2,1,1
CUST-00086,5,46.6,3,2,1
CUST-00087,41,53.28,6,0,1
CUST-00088,28,75.74,6,3,1
CUST-00089,7,90.7,1,2,1
CUST-00090,12,86.26,4,2,1
CUST-00091,34,100.77,6,0,1
CUST-00092,33,108.59,6,4,1
CUST-00093,48,101.61,5,1,1
CUST-00094,23,21.89,9,0,1
CUST-00095,62,93.59,9,4,1
CUST-00096,37,40.84,7,0,1
CUST-00097,44,33.29,2,3,1
CUST-00098,35,83.85,0,0,0
CUST-00099,65,51.97,2,0,0
CUST-00100,47,25.71,1,3,1
CUST-00101,3,33.76,1,1,1
CUST-00102,1,20.09,1,4,1
CUST-00103,5,110.32,4,2,1
CUST-00104,14,22.46,0,1,1
CUST-00105,27,40.95,9,0,1
CUST-00106,9,61.63,3,2,1
CUST-00107,15,55.66,9,3,1
CUST-00108,42,111.17,4,1,1
CUST-00109,51,24.03,1,4,1
CUST-00110,63,71.22,4,1,1
CUST-00111,52,88.05,9,1,1
CUST-00112,4,113.17,3,2,1
CUST-00113,23,82.04,7,3,1
CUST-00114,15,100.38,0,3,1
CUST-00115,43,28.37,4,1,1
CUST-00116,29,58.59,9,3,1
CUST-00117,36,57.39,0,2,1
CUST-00118,13,108.63,9,2,1
CUST-00119,32,35.14,9,4,1
CUST-00120,71,35.19,3,3,1
CUST-00121,59,52.86,7,4,1
CUST-00122,28,25.45,0,0,1
CUST-00123,66,38.25,1,2,0
CUST-00124,42,116.52,0,1,0
CUST-00125,45,62.82,6,2,1
CUST-00126,62,83.2,1,0,0
CUST-00127,57,92.61,0,1,0
CUST-00128,6,56.7,5,3,1
CUST-00129,28,34.72,5,3,1
CUST-00130,28,40.66,9,2,1
CUST-00131,44,51.33,1,1,0
CUST-00132,30,83.61,0,1,0
CUST-00133,62,59.83,9,4,1
CUST-00134,62,20.68,2,0,0
CUST-00135,1,72.34,9,3,1
CUST-00136,27,112.15,4,2,1
CUST-00137,62,101.21,5,1,1
CUST-00138,3,102.52,2,3,1
CUST-00139,70,99.51,8,2,1
CUST-00140,27,52.37,4,3,1
CUST-00141,9,96.52,1,2,1
CUST-00142,62,34.32,9,3,1
CUST-00143,37,85.77,5,4,1
CUST-00144,51,84.16,7,0,1
CUST-00145,44,22.56,5,3,1
CUST-00146,24,98.8,3,0,1
CUST-00147,59,110.32,5,3,1
CUST-00148,32,46.74,7,1,1
CUST-00149,52,101.24,7,4,1
CUST-00150,62,28.24,9,4,1
CUST-00151,58,80.0,1,0,0
CUST-00152,52,68.56,7,1,1
CUST-00153,12,74.59,5,2,1
CUST-00154,39,112.62,1,4,1
CUST-00155,2,107.13,0,1,1
CUST-00156,3,98.51,5,1,1
CUST-00157,56,47.37,6,0,1
CUST-00158,59,111.18,9,1,1
CUST-00159,2,29.75,4,1,1
CUST-00160,2,105.33,9,2,1
CUST-00161,54,52.82,7,0,1
CUST-00162,1,25.38,8,0,1
CUST-00163,19,86.94,3,1,1
CUST-00164,2,43.13,6,2,1
CUST-00165,53,44.36,7,3,1
CUST-00166,44,50.6,5,4,1
CUST-00167,32,26.37,1,0,1
CUST-00168,70,37.71,6,2,1
CUST-00169,32,20.51,8,2,1
CUST-00170,68,64.54,4,1,0
CUST-00171,55,28.43,1,4,1
CUST-00172,56,88.27,3,0,0
CUST-00173,17,43.56,2,3,1
CUST-00174,38,114.36,3,1,1
CUST-00175,24,107.13,9,0,1
CUST-00176,69,48.94,6,0,1
CUST-00177,70,98.32,9,2,1
CUST-00178,11,100.32,7,4,1
CUST-00179,16,118.66,0,3,1
CUST-00180,59,79.78,7,4,1
CUST-00181,70,28.2,4,2,1
CUST-00182,3,84.68,6,3,1
CUST-00183,20,82.5,0,3,1
CUST-00184,59,83.84,1,1,0
CUST-00185,36,50.71,0,3,1
CUST-00186,19,105.97,4,0,1
CUST-00187,67,115.95,5,4,1
CUST-00188,19,41.77,9,4,1
CUST-00189,20,28.82,8,1,1
CUST-00190,71,39.45,7,3,1
CUST-00191,52,102.06,6,2,1
CUST-00192,33,87.66,4,0,1
CUST-00193,40,83.6,2,1,1
CUST-00194,39,60.18,8,3,1
CUST-00195,1,77.78,4,2,1
CUST-00196,11,50.79,2,3,1
CUST-00197,57,67.72,2,1,0
CUST-00198,50,99.31,2,2,1
CUST-00199,23,118.12,5,2,1
CUST-00200,31,113.25,0,2,0
CUST-00201,42,113.39,3,2,1
CUST-00202,7,60.22,7,3,1
CUST-00203,16,66.88,2,2,1
CUST-00204,60,90.56,4,3,1
CUST-00205,2,112.22,1,2,1
CUST-00206,1,34.2,1,2,1
CUST-00207,48,50.42,6,1,1
CUST-00208,12,33.92,9,3,1
CUST-00209,69,81.2,2,3,0
CUST-00210,37,50.63,4,4,1
CUST-00211,32,52.61,2,1,1
CUST-00212,9,27.09,5,3,1
CUST-00213,19,54.98,9,1,1
CUST-00214,48,106.25,2,1,0
CUST-00215,3,43.31,7,1,1
CUST-00216,20,89.52,1,0,1
CUST-00217,24,82.96,2,3,1
CUST-00218,54,106.35,7,1,1
CUST-00219,33,33.23,7,0,1
CUST-00220,24,117.76,0,0,0
CUST-00221,36,78.26,7,2,1
CUST-00222,38,119.55,9,2,1
CUST-00223,25,111.15,1,3,1
CUST-00224,18,42.15,6,2,1
CUST-00225,66,25.62,5,3,1
CUST-00226,54,45.56,1,0,0
CUST-00227,35,72.76,4,0,1
CUST-00228,61,37.16,6,3,1
CUST-00229,41,36.75,7,2,1
CUST-00230,33,66.26,2,2,1
CUST-00231,68,23.33,0,3,0
CUST-00232,33,32.19,6,4,1
CUST-00233,14,61.59,4,2,1
CUST-00234,21,26.31,4,1,1
CUST-00235,48,59.68,6,2,1
CUST-00236,20,67.4,0,4,1
CUST-00237,8,65.13,7,0,1
CUST-00238,7,106.92,9,0,1
CUST-00239,67,73.01,4,0,0
CUST-00240,17,66.8,7,2,1
CUST-00241,33,61.07,9,0,1
CUST-00242,48,101.76,9,4,1
CUST-00243,59,109.51,4,4,1
CUST-00244,22,105.32,6,2,1
CUST-00245,30,87.35,9,1,1
CUST-00246,38,33.74,2,2,1
CUST-00247,51,47.69,1,0,0
CUST-00248,54,24.61,5,2,1
CUST-00249,8,113.08,4,4,1
CUST-00250,27,86.08,8,2,1
CUST-00251,27,94.64,9,2,1
CUST-00252,21,51.16,3,1,1
CUST-00253,30,104.57,2,4,1
CUST-00254,28,45.96,8,3,1
CUST-00255,64,20.16,7,3,1
CUST-00256,69,57.64,5,4,1
CUST-00257,61,77.08,0,3,0
CUST-00258,48,67.87,9,0,1
CUST-00259,19,106.21,0,3,1
CUST-00260,4,30.54,5,0,1
CUST-00261,35,75.38,2,4,1
CUST-00262,64,71.3,2,3,1
CUST-00263,49,48.14,5,3,1
CUST-00264,17,102.22,2,0,1
CUST-00265,44,95.28,9,0,1
CUST-00266,30,93.29,5,2,1
CUST-00267,46,107.62,4,1,1
CUST-00268,6,92.28,3,3,1
CUST-00269,37,43.18,7,1,1
CUST-00270,24,90.56,1,1,1
CUST-00271,46,50.77,6,3,1
CUST-00272,53,44.22,3,0,0
CUST-00273,60,27.3,1,2,0
CUST-00274,63,94.4,6,4,1
CUST-00275,32,91.1,0,3,1
CUST-00276,33,43.45,3,3,1
CUST-00277,67,94.94,8,4,1
CUST-00278,18,111.78,3,1,1
CUST-00279,25,30.8,2,2,1
CUST-00280,54,43.26,9,1,1
CUST-00281,58,95.03,9,4,1
CUST-00282,67,47.45,1,4,1
CUST-00283,46,82.47,2,2,1
CUST-00284,24,28.12,0,4,1
CUST-00285,32,65.22,9,4,1
CUST-00286,47,93.91,7,2,1
CUST-00287,23,88.65,0,3,1
CUST-00288,66,101.51,2,1,0
CUST-00289,27,107.75,2,3,1
CUST-00290,2,97.32,1,3,1
CUST-00291,17,87.16,4,1,1
CUST-00292,33,23.17,9,3,1
CUST-00293,9,73.5,2,2,1
CUST-00294,43,23.77,2,1,1
CUST-00295,48,100.81,7,0,1
CUST-00296,39,52.07,3,3,1
CUST-00297,42,76.24,3,4,1
CUST-00298,26,47.94,2,1,1
CUST-00299,50,98.25,0,0,0
CUST-00300,25,108.65,7,4,1
CUST-00301,24,59.86,0,0,0
CUST-00302,13,106.29,6,3,1
CUST-00303,60,46.71,4,4,1
CUST-00304,7,73.47,3,3,1
CUST-00305,57,105.88,3,4,1
CUST-00306,36,52.59,7,1,1
CUST-00307,45,115.4,5,2,1
CUST-00308,20,32.19,0,2,1
CUST-00309,65,21.83,9,0,1
CUST-00310,8,110.41,7,4,1
CUST-00311,16,26.86,1,3,1
CUST-00312,14,119.19,5,1,1
CUST-00313,15,115.14,8,1,1
CUST-00314,66,33.7,0,1,0
CUST-00315,32,73.76,5,2,1
CUST-00316,63,38.49,7,3,1
CUST-00317,51,62.82,9,1,1
CUST-00318,25,26.14,1,1,1
CUST-00319,58,42.39,4,0,1
CUST-00320,63,56.33,5,4,1
CUST-00321,62,63.86,4,4,1
CUST-00322,22,117.75,2,4,1
CUST-00323,58,100.79,3,0,0
CUST-00324,58,93.74,6,2,1
CUST-00325,49,73.7,3,0,0
CUST-00326,52,104.0,8,1,1
CUST-00327,42,53.93,9,3,1
CUST-00328,70,90.89,1,1,0
CUST-00329,15,119.38,4,1,1
CUST-00330,54,51.46,7,3,1
CUST-00331,60,87.4,4,4,1
CUST-00332,8,104.43,9,0,1
CUST-00333,53,111.58,7,2,1
CUST-00334,60,91.79,7,1,1
CUST-00335,5,48.36,8,1,1
CUST-00336,68,52.63,9,2,1
CUST-00337,6,22.08,5,0,1
CUST-00338,47,96.09,3,1,1
CUST-00339,55,24.27,2,2,1
CUST-00340,40,106.47,4,1,1
CUST-00341,52,31.87,5,4,1
CUST-00342,16,37.19,2,4,1
CUST-00343,13,67.65,1,1,1
CUST-00344,30,93.79,6,1,1
CUST-00345,19,33.9,4,4,1
CUST-00346,17,64.01,8,1,1
CUST-00347,63,68.29,2,0,0
CUST-00348,19,41.23,7,0,1
CUST-00349,58,31.56,5,3,1
CUST-00350,55,103.64,3,0,0
CUST-00351,62,70.25,8,1,1
CUST-00352,23,21.44,4,1,1
CUST-00353,9,100.3,9,2,1
CUST-00354,12,118.08,5,0,1
CUST-00355,1,80.59,8,4,1
CUST-00356,58,70.37,6,4,1
CUST-00357,1,107.84,4,3,1
CUST-00358,34,115.25,1,2,1
CUST-00359,48,95.45,3,4,1
CUST-00360,1,64.55,1,3,1
CUST-00361,16,79.22,2,0,1
CUST-00362,61,90.09,9,2,1
CUST-00363,64,39.43,2,2,1
CUST-00364,63,64.72,3,1,0
CUST-00365,69,102.98,5,0,0
CUST-00366,22,85.47,2,2,1
CUST-00367,67,61.12,9,3,1
CUST-00368,26,86.34,0,4,1
CUST-00369,16,31.82,0,0,1
CUST-00370,51,60.15,8,0,1
CUST-00371,57,99.31,8,2,1
CUST-00372,29,42.05,4,2,1
CUST-00373,69,38.6,8,2,1
CUST-00374,47,115.08,6,3,1
CUST-00375,62,40.99,8,1,1
CUST-00376,69,46.09,6,2,1
CUST-00377,16,116.96,8,1,1
CUST-00378,48,93.47,1,1,0
CUST-00379,39,89.96,7,0,1
CUST-00380,33,105.29,6,4,1
CUST-00381,23,31.58,5,4,1
CUST-00382,10,90.6,4,3,1
CUST-00383,69,70.37,3,3,1
CUST-00384,34,102.92,6,4,1
CUST-00385,52,70.81,2,4,1
CUST-00386,10,82.02,7,0,1
CUST-00387,19,67.77,1,0,1
CUST-00388,58,67.82,0,4,1
CUST-00389,1,96.8,1,2,1
CUST-00390,69,82.86,8,2,1
CUST-00391,4,83.33,4,0,1
CUST-00392,16,65.03,7,1,1
CUST-00393,24,73.11,2,4,1
CUST-00394,2,94.57,6,3,1
CUST-00395,32,102.59,1,2,1
CUST-00396,24,89.66,7,1,1
CUST-00397,12,112.41,6,2,1
CUST-00398,50,102.03,4,1,1
CUST-00399,35,76.19,3,4,1
CUST-00400,33,87.14,0,4,1
CUST-00401,33,112.63,4,4,1
CUST-00402,61,81.92,8,0,1
CUST-00403,51,102.48,9,1,1
CUST-00404,43,88.88,3,3,1
CUST-00405,12,75.19,8,3,1
CUST-00406,67,44.18,1,4,1
CUST-00407,65,62.6,3,3,1
CUST-00408,33,116.77,8,2,1
CUST-00409,40,85.78,3,1,1
CUST-00410,43,76.44,4,1,1
CUST-00411,44,113.3,7,1,1
CUST-00412,29,78.65,0,2,1
CUST-00413,13,72.61,0,0,1
CUST-00414,12,95.93,8,2,1
CUST-00415,46,91.27,8,1,1
CUST-00416,2,39.32,3,1,1
CUST-00417,35,67.13,1,1,1
CUST-00418,8,67.25,8,3,1
CUST-00419,26,57.82,3,0,1
CUST-00420,34,71.73,5,2,1
CUST-00421,7,61.31,0,1,1
CUST-00422,68,39.93,8,4,1
CUST-00423,58,61.24,4,0,0
CUST-00424,29,27.23,2,4,1
CUST-00425,36,77.58,3,0,1
CUST-00426,21,105.37,0,1,0
CUST-00427,36,92.53,8,0,1
CUST-00428,10,56.04,7,0,1
CUST-00429,24,28.71,3,1,1
CUST-00430,64,40.21,1,4,1
CUST-00431,49,74.55,8,4,1
CUST-00432,36,40.71,3,3,1
CUST-00433,24,74.4,8,4,1
CUST-00434,23,43.16,9,4,1
CUST-00435,62,104.89,2,0,0
CUST-00436,37,59.73,6,3,1
CUST-00437,12,44.56,6,1,1
CUST-00438,55,101.23,9,1,1
CUST-00439,13,54.28,3,2,1
CUST-00440,23,31.15,1,3,1
CUST-00441,30,77.04,8,0,1
CUST-00442,17,78.16,3,2,1
CUST-00443,62,91.47,7,2,1
CUST-00444,13,44.02,1,1,1
CUST-00445,59,64.38,7,4,1
CUST-00446,19,48.24,9,0,1
CUST-00447,49,28.1,4,3,1
CUST-00448,12,107.66,6,2,1
CUST-00449,61,92.89,6,0,1
CUST-00450,19,50.15,8,1,1
CUST-00451,9,79.94,2,2,1
CUST-00452,71,40.13,9,2,1
CUST-00453,28,109.02,3,1,1
CUST-00454,52,31.49,9,1,1
CUST-00455,16,20.38,3,1,1
CUST-00456,69,70.2,9,0,1
CUST-00457,12,78.31,4,0,1
CUST-00458,25,77.9,5,0,1
CUST-00459,52,25.45,2,4,1
CUST-00460,53,51.4,3,2,1
CUST-00461,23,69.92,2,0,1
CUST-00462,16,41.66,1,4,1
CUST-00463,57,107.26,9,2,1
CUST-00464,39,28.71,8,0,1
CUST-00465,53,68.74,0,1,0
CUST-00466,42,89.14,1,3,1
CUST-00467,58,46.18,7,0,1
CUST-00468,39,82.42,6,3,1
CUST-00469,14,102.94,0,0,0
CUST-00470,5,39.03,4,1,1
CUST-00471,35,111.72,9,3,1
CUST-00472,18,75.36,5,4,1
CUST-00473,9,49.92,4,1,1
CUST-00474,58,63.09,3,3,1
CUST-00475,17,51.22,0,3,1
CUST-00476,7,92.51,6,1,1
CUST-00477,46,99.63,8,1,1
CUST-00478,13,103.29,5,1,1
CUST-00479,40,118.58,2,2,1
CUST-00480,42,99.13,9,4,1
CUST-00481,9,80.14,3,0,1
CUST-00482,50,53.92,9,3,1
CUST-00483,27,74.46,4,0,1
CUST-00484,66,24.11,0,1,0
CUST-00485,5,94.48,4,4,1
CUST-00486,29,64.6,0,4,1
CUST-00487,37,22.0,8,2,1
CUST-00488,38,26.25,6,1,1
CUST-00489,8,58.75,2,3,1
CUST-00490,65,78.34,8,2,1
CUST-00491,17,66.42,1,1,1
CUST-00492,71,81.92,6,2,1
CUST-00493,45,68.03,8,0,1
CUST-00494,4,86.17,5,1,1
CUST-00495,36,41.91,9,3,1
CUST-00496,70,31.28,4,3,1
CUST-00497,31,79.64,6,1,1
CUST-00498,19,68.47,5,2,1
CUST-00499,61,22.69,4,4,1
CUST-00500,54,58.05,1,1,0
CUST-00501,39,30.61,7,3,1
CUST-00502,19,73.14,6,0,1
CUST-00503,39,59.58,5,3,1
CUST-00504,67,81.32,4,4,1
CUST-00505,45,100.56,4,3,1
CUST-00506,13,49.97,8,4,1
CUST-00507,58,116.21,0,1,0
CUST-00508,20,73.56,8,3,1
CUST-00509,61,81.83,5,2,1
CUST-00510,39,88.07,3,2,1
CUST-00511,1,86.67,9,3,1
CUST-00512,3,71.1,6,3,1
CUST-00513,62,62.88,8,0,1
CUST-00514,63,25.38,4,3,1
CUST-00515,25,22.21,4,0,1
CUST-00516,56,55.8,7,0,1
CUST-00517,33,53.37,6,0,1
CUST-00518,38,58.77,7,0,1
CUST-00519,6,33.84,9,1,1
CUST-00520,58,93.82,1,2,0
CUST-00521,44,105.7,8,0,1
CUST-00522,45,113.87,2,2,1
CUST-00523,32,69.24,5,0,1
CUST-00524,45,90.09,5,2,1
CUST-00525,61,105.56,1,3,0
CUST-00526,47,61.83,6,3,1
CUST-00527,21,50.94,8,2,1
CUST-00528,36,113.67,9,0,1
CUST-00529,19,71.57,0,1,1
CUST-00530,20,69.73,7,2,1
CUST-00531,57,37.84,1,4,1
CUST-00532,18,30.82,0,1,1
CUST-00533,47,104.21,7,4,1
CUST-00534,49,81.41,1,2,0
CUST-00535,14,52.58,5,0,1
CUST-00536,15,39.17,5,4,1
CUST-00537,31,75.55,4,2,1
CUST-00538,1,78.39,7,1,1
CUST-00539,54,40.7,2,0,0
CUST-00540,3,105.14,9,4,1
CUST-00541,16,28.43,3,2,1
CUST-00542,57,55.61,6,0,1
CUST-00543,12,88.04,6,0,1
CUST-00544,16,47.41,7,3,1
CUST-00545,24,102.77,1,0,0
CUST-00546,28,93.99,1,2,1
CUST-00547,8,98.9,3,1,1
CUST-00548,36,31.91,9,3,1
CUST-00549,8,34.05,8,2,1
CUST-00550,58,48.65,9,2,1
CUST-00551,60,71.81,8,2,1
CUST-00552,50,94.8,3,4,1
CUST-00553,28,103.65,8,4,1
CUST-00554,41,90.43,2,1,1
CUST-00555,64,112.86,4,2,1
CUST-00556,27,93.87,9,4,1
CUST-00557,63,50.63,8,4,1
CUST-00558,17,46.51,5,4,1
CUST-00559,33,89.62,2,1,1
CUST-00560,29,39.29,9,1,1
CUST-00561,13,29.27,8,2,1
CUST-00562,46,73.22,5,3,1
CUST-00563,35,102.16,3,2,1
CUST-00564,6,30.14,3,4,1
CUST-00565,69,99.19,7,4,1
CUST-00566,47,101.16,6,0,1
CUST-00567,25,68.23,0,2,1
CUST-00568,66,25.73,5,4,1
CUST-00569,10,37.46,7,4,1
CUST-00570,56,90.74,2,3,1
CUST-00571,30,91.18,8,0,1
CUST-00572,5,109.84,9,2,1
CUST-00573,33,78.27,1,1,1
CUST-00574,65,32.41,5,2,1
CUST-00575,18,32.14,0,2,1
CUST-00576,49,92.11,1,3,1
CUST-00577,11,38.38,4,2,1
CUST-00578,26,52.84,0,3,1
CUST-00579,63,68.72,7,3,1
CUST-00580,59,22.48,0,4,1
CUST-00581,27,44.88,8,1,1
CUST-00582,49,60.79,9,3,1
CUST-00583,33,47.96,2,0,1
CUST-00584,1,33.64,1,0,1
CUST-00585,21,92.8,0,1,1
CUST-00586,55,101.31,8,3,1
CUST-00587,6,45.75,3,1,1
CUST-00588,69,97.44,0,4,0
CUST-00589,5,58.56,0,0,1
CUST-00590,3,70.67,6,2,1
CUST-00591,53,105.6,1,0,0
CUST-00592,23,95.0,6,3,1
CUST-00593,53,100.51,6,1,1
CUST-00594,37,33.68,9,0,1
CUST-00595,17,26.97,8,2,1
CUST-00596,1,109.34,6,2,1
CUST-00597,51,58.78,0,1,0
CUST-00598,45,48.79,7,1,1
CUST-00599,4,92.47,7,0,1
CUST-00600,62,103.64,3,3,1
CUST-00601,65,106.25,7,4,1
CUST-00602,32,51.6,3,2,1
CUST-00603,34,105.22,7,1,1
CUST-00604,39,24.09,4,4,1
CUST-00605,26,24.97,3,4,1
CUST-00606,34,82.35,5,4,1
CUST-00607,54,26.31,1,3,1
CUST-00608,3,52.46,1,1,1
CUST-00609,50,87.28,1,2,0
CUST-00610,12,53.73,8,1,1
CUST-00611,65,37.96,9,0,1
CUST-00612,54,48.14,2,2,1
CUST-00613,5,65.76,9,1,1
CUST-00614,57,67.54,3,2,1
CUST-00615,17,98.3,9,0,1
CUST-00616,47,95.02,7,2,1
CUST-00617,23,65.68,3,4,1
CUST-00618,14,104.57,9,3,1
CUST-00619,66,31.42,9,0,1
CUST-00620,51,45.54,6,2,1
CUST-00621,38,102.8,4,0,1
CUST-00622,64,57.8,8,4,1
CUST-00623,38,118.12,3,3,1
CUST-00624,50,66.63,2,0,0
CUST-00625,30,99.19,1,4,1
CUST-00626,51,60.23,0,4,1
CUST-00627,63,62.5,5,4,1
CUST-00628,52,58.29,9,2,1
CUST-00629,38,91.91,1,1,0
CUST-00630,30,74.75,7,0,1
CUST-00631,51,114.38,5,1,1
CUST-00632,5,45.09,4,4,1
CUST-00633,29,30.06,1,1,1
CUST-00634,4,59.33,6,4,1
CUST-00635,10,81.67,1,4,1
CUST-00636,56,106.08,4,3,1
CUST-00637,17,54.62,1,3,1
CUST-00638,17,85.38,9,1,1
CUST-00639,69,55.02,1,0,0
CUST-00640,34,81.72,6,1,1
CUST-00641,6,108.48,8,0,1
CUST-00642,53,43.14,4,1,1
CUST-00643,66,60.42,6,2,1
CUST-00644,43,119.33,3,2,1
CUST-00645,23,106.86,1,0,0
CUST-00646,55,76.46,2,3,1
CUST-00647,16,71.66,1,0,1
CUST-00648,8,48.46,4,1,1
CUST-00649,4,71.72,5,4,1
CUST-00650,4,104.82,6,2,1
CUST-00651,56,88.52,2,4,1
CUST-00652,25,49.0,3,2,1
CUST-00653,67,40.15,7,1,1
CUST-00654,67,46.52,3,2,1
CUST-00655,27,36.98,6,0,1
CUST-00656,32,29.56,5,4,1
CUST-00657,50,61.91,6,4,1
CUST-00658,61,31.33,0,1,0
CUST-00659,51,37.19,2,4,1
CUST-00660,19,74.73,5,1,1
CUST-00661,21,36.46,2,3,1
CUST-00662,5,26.39,6,0,1
CUST-00663,42,51.74,8,2,1
CUST-00664,61,42.03,2,2,1
CUST-00665,22,71.53,0,2,1
CUST-00666,21,30.24,9,3,1
CUST-00667,70,95.18,5,0,0
CUST-00668,1,110.62,0,4,1
CUST-00669,5,94.34,0,4,1
CUST-00670,12,73.28,7,0,1
CUST-00671,46,106.07,8,0,1
CUST-00672,34,89.49,1,2,1
CUST-00673,49,21.06,8,4,1
CUST-00674,45,59.41,4,0,1
CUST-00675,27,105.1,7,4,1
CUST-00676,26,54.59,6,0,1
CUST-00677,47,23.52,6,1,1
CUST-00678,56,94.62,3,2,1
CUST-00679,63,100.2,1,0,0
CUST-00680,48,36.06,4,3,1
CUST-00681,61,73.73,2,0,0
CUST-00682,26,39.2,8,1,1
CUST-00683,36,91.92,5,3,1
CUST-00684,1,47.16,0,3,1
CUST-00685,8,51.62,2,0,1
CUST-00686,52,104.5,3,1,0
CUST-00687,47,67.63,8,3,1
CUST-00688,56,86.98,5,2,1
CUST-00689,14,60.24,3,2,1
CUST-00690,28,49.8,0,4,1
CUST-00691,2,82.55,7,4,1
CUST-00692,26,35.49,1,1,1
CUST-00693,14,57.3,7,3,1
CUST-00694,59,40.9,5,2,1
CUST-00695,56,89.58,7,2,1
CUST-00696,7,114.42,5,1,1
CUST-00697,3,119.55,4,3,1
CUST-00698,23,65.03,4,1,1
CUST-00699,18,45.25,9,0,1
CUST-00700,38,64.28,9,2,1
CUST-00701,15,104.73,7,1,1
CUST-00702,64,40.6,6,1,1
CUST-00703,28,115.21,7,0,1
CUST-00704,39,54.19,7,4,1
CUST-00705,57,118.58,6,2,1
CUST-00706,17,103.86,1,1,1
CUST-00707,44,100.86,8,2,1
CUST-00708,25,51.79,6,4,1
CUST-00709,17,20.88,5,1,1
CUST-00710,13,58.21,8,0,1
CUST-00711,25,50.18,0,2,1
CUST-00712,68,23.74,1,0,0
CUST-00713,10,70.54,0,4,1
CUST-00714,67,60.3,9,4,1
CUST-00715,18,83.46,2,2,1
CUST-00716,34,82.12,4,4,1
CUST-00717,8,32.07,0,3,1
CUST-00718,40,117.7,3,2,1
CUST-00719,42,38.69,7,3,1
CUST-00720,41,64.53,5,4,1
CUST-00721,6,68.81,0,2,1
CUST-00722,52,101.31,0,3,0
CUST-00723,26,29.92,2,4,1
CUST-00724,64,62.86,9,1,1
CUST-00725,59,82.85,7,1,1
CUST-00726,56,41.52,7,0,1
CUST-00727,59,82.75,2,1,0
CUST-00728,70,112.37,6,3,1
CUST-00729,33,119.75,2,1,1
CUST-00730,53,23.25,3,2,1
CUST-00731,22,43.56,8,2,1
CUST-00732,21,51.03,3,2,1
CUST-00733,70,59.91,2,1,0
